mixbench-cpu (v0.04-12-g440a133)
Use "-h" argument to see available options
Working memory size: 1024MB
Total threads: 32
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   21.69,   12.38,  49.51,      0.125,   21.66,    6.20,  49.57,     0.250,   21.88,   12.27,  49.08
            1,      0.750,   21.83,   36.90,  49.20,      0.375,   21.56,   18.67,  49.80,     0.750,   21.89,   36.79,  49.05
            2,      1.250,   22.20,   60.46,  48.37,      0.625,   21.88,   30.67,  49.07,     1.250,   22.16,   60.55,  48.44
            3,      1.750,   22.33,   84.16,  48.09,      0.875,   22.00,   42.70,  48.80,     1.750,   21.99,   85.43,  48.82
            4,      2.250,   22.27,  108.49,  48.22,      1.125,   22.06,   54.75,  48.66,     2.250,   21.81,  110.76,  49.23
            6,      3.250,   21.46,  162.60,  50.03,      1.625,   21.56,   80.92,  49.80,     3.250,   21.75,  160.44,  49.37
            8,      4.250,   21.56,  211.65,  49.80,      2.125,   21.60,  105.63,  49.71,     4.250,   21.47,  212.55,  50.01
           12,      6.250,   21.57,  311.09,  49.77,      3.125,   22.40,  149.78,  47.93,     6.250,   22.30,  300.95,  48.15
           16,      8.250,   22.37,  395.92,  47.99,      4.125,   22.29,  198.75,  48.18,     8.250,   22.36,  396.21,  48.02
           20,     10.250,   22.89,  480.84,  46.91,      5.125,   22.56,  243.95,  47.60,    10.250,   21.70,  507.07,  49.47
           24,     12.250,   22.09,  595.50,  48.61,      6.125,   22.71,  289.63,  47.29,    12.250,   21.72,  605.53,  49.43
           28,     14.250,   22.14,  691.00,  48.49,      7.125,   21.89,  349.41,  49.04,    14.250,   23.09,  662.52,  46.49
           32,     16.250,   22.44,  777.62,  47.85,      8.125,   21.97,  397.08,  48.87,    16.250,   22.37,  780.06,  48.00
           40,     20.250,   21.75,  999.64,  49.37,     10.125,   21.89,  496.74,  49.06,    20.250,   22.25,  977.36,  48.26
           48,     24.250,   23.02, 1131.11,  46.64,     12.125,   21.85,  595.79,  49.14,    24.250,   21.97, 1185.17,  48.87
           56,     28.250,   21.90, 1385.33,  49.04,     14.125,   22.00,  689.55,  48.82,    28.250,   23.88, 1270.13,  44.96
           64,     32.250,   24.08, 1438.17,  44.59,     16.125,   24.07,  719.26,  44.61,    32.250,   22.16, 1562.93,  48.46
           80,     40.250,   21.98, 1966.34,  48.85,     20.125,   23.60,  915.56,  45.49,    40.250,   25.11, 1720.95,  42.76
          104,     52.250,   25.83, 2172.18,  41.57,     26.125,   25.86, 1084.79,  41.52,    52.250,   32.46, 1728.59,  33.08
          120,     60.250,   29.71, 2177.70,  36.14,     30.125,   29.78, 1086.22,  36.06,    60.250,   37.32, 1733.47,  28.77
          128,     64.250,   31.83, 2167.59,  33.74,     32.125,   31.82, 1083.93,  33.74,    64.250,   39.92, 1728.07,  26.90
          160,     80.250,   39.66, 2172.72,  27.07,     40.125,   39.67, 1085.98,  27.06,    80.250,   51.32, 1678.90,  20.92
          192,     96.250,   47.59, 2171.76,  22.56,     48.125,   47.63, 1084.90,  22.54,    96.250,   60.39, 1711.22,  17.78
          256,    128.250,   63.12, 2181.50,  17.01,     64.125,   63.07, 1091.69,  17.02,   128.250,   80.77, 1705.00,  13.29
          320,    160.250,   78.48, 2192.58,  13.68,     80.125,   78.65, 1093.91,  13.65,   160.250,  100.89, 1705.53,  10.64
          512,    256.250,  125.30, 2195.87,   8.57,    128.125,  125.39, 1097.14,   8.56,   256.250,  159.55, 1724.50,   6.73
------------------------------------------------------------------------------------------------------------------------------
