mixbench-hip (v0.04-12-g440a133)
------------------------ Device specifications ------------------------
Device:              AMD Radeon RX 6600 XT
CUDA driver version: 60032.831
GPU clock rate:      2900 MHz
WarpSize:            32
L2 cache size:       2048 KB
Total global mem:    8176 MB
Total SPs:           2048 (16 MPs x 128 SPs/MP)
Compute throughput:  11878.40 GFlops (theoretical single precision FMAs)
Memory bandwidth:    32.00 GB/sec
-----------------------------------------------------------------------
Total GPU memory 8573157376, free 8539602944
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 1
----------------------------------------------------------------------------- CSV data -------------------------------------------------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Packed Single Precision ops,,,,       Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.53,   62.97, 251.89,      0.250,    1.07,   62.88, 251.50,      0.125,    1.06,   31.53, 252.27,      0.500,    0.53,  125.56, 251.12,     0.250,    0.53,   62.76, 251.02
            1,      0.750,    0.53,  188.30, 251.06,      0.750,    1.06,  189.09, 252.12,      0.375,    1.06,   94.80, 252.79,      1.500,    0.54,  376.06, 250.71,     0.750,    0.53,  188.56, 251.42
            2,      1.250,    0.54,  313.26, 250.61,      1.250,    1.07,  314.63, 251.70,      0.625,    1.07,  157.32, 251.71,      2.500,    0.53,  628.60, 251.44,     1.250,    0.54,  313.06, 250.44
            3,      1.750,    0.53,  439.56, 251.18,      1.750,    1.07,  441.08, 252.04,      0.875,    1.06,  220.83, 252.37,      3.500,    0.53,  879.24, 251.21,     1.750,    0.53,  439.10, 250.91
            4,      2.250,    0.54,  562.45, 249.98,      2.250,    1.07,  566.80, 251.91,      1.125,    1.07,  282.58, 251.18,      4.500,    0.54, 1125.49, 250.11,     2.250,    0.53,  564.47, 250.87
            5,      2.750,    0.54,  688.05, 250.20,      2.750,    1.06,  694.11, 252.40,      1.375,    1.11,  332.69, 241.96,      5.500,    0.54, 1375.18, 250.03,     2.750,    0.53,  690.01, 250.91
            6,      3.250,    0.53,  817.42, 251.51,      3.250,    1.06,  820.00, 252.31,      1.625,    1.11,  394.26, 242.62,      6.500,    0.53, 1634.11, 251.40,     3.250,    0.54,  813.21, 250.22
            7,      3.750,    0.54,  937.49, 250.00,      3.750,    1.06,  946.62, 252.43,      1.875,    1.11,  454.47, 242.38,      7.500,    0.54, 1878.61, 250.48,     3.750,    0.54,  939.38, 250.50
            8,      4.250,    0.54, 1062.96, 250.11,      4.250,    1.07, 1070.74, 251.94,      2.125,    1.09,  522.37, 245.82,      8.500,    0.54, 2130.68, 250.67,     4.250,    0.54, 1064.86, 250.56
