mixbench (v0.04-12-g440a133)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 3090 Ti
CUDA driver version: 12.50
GPU clock rate:      1905 MHz
Memory clock rate:   5250 MHz
Memory bus width:    384 bits
WarpSize:            32
L2 cache size:       6144 KB
Total global mem:    24149 MB
ECC enabled:         No
Compute Capability:  8.6
Total SPs:           10752 (84 MPs x 128 SPs/MP)
Compute throughput:  40965.12 GFlops (theoretical single precision FMAs)
Memory bandwidth:    1008.10 GB/sec
-----------------------------------------------------------------------
Total GPU memory 25322520576, free 25040191488
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.15,  217.28, 869.11,      0.125,    0.29,  115.79, 926.30,      0.500,    0.15,  448.97, 897.95,     0.250,    0.15,  225.99, 903.94
            1,      0.750,    0.15,  677.96, 903.94,      0.375,    0.29,  344.93, 919.80,      1.500,    0.15, 1355.92, 903.94,     0.750,    0.15,  677.96, 903.94
            2,      1.250,    0.15, 1129.69, 903.75,      0.625,    0.33,  504.27, 806.83,      2.500,    0.15, 2262.79, 905.12,     1.250,    0.15, 1129.93, 903.94
            3,      1.750,    0.15, 1571.07, 897.75,      0.875,    0.46,  512.00, 585.14,      3.500,    0.15, 3142.14, 897.75,     1.750,    0.15, 1581.90, 903.94
            4,      2.250,    0.15, 2021.24, 898.33,      1.125,    0.58,  517.42, 459.93,      4.500,    0.15, 4067.75, 903.94,     2.250,    0.15, 2019.95, 897.75
            5,      2.750,    0.15, 2453.59, 892.22,      1.375,    0.71,  520.88, 378.82,      5.500,    0.15, 4937.64, 897.75,     2.750,    0.16, 2374.79, 863.56
            6,      3.250,    0.15, 2917.70, 897.75,      1.625,    0.83,  522.68, 321.65,      6.500,    0.15, 5835.40, 897.75,     3.250,    0.15, 2821.09, 868.03
            7,      3.750,    0.15, 3366.58, 897.75,      1.875,    0.96,  524.57, 279.77,      7.500,    0.15, 6733.15, 897.75,     3.750,    0.16, 3234.35, 862.49
            8,      4.250,    0.15, 3789.50, 891.65,      2.125,    1.09,  525.63, 247.36,      8.500,    0.15, 7630.90, 897.75,     4.250,    0.16, 3642.38, 857.03
