mixbench (v0.04-8-ge51e196)
------------------------ Device specifications ------------------------
Device:              NVIDIA GeForce RTX 3080
CUDA driver version: 12.30
GPU clock rate:      1800 MHz
Memory clock rate:   4750 MHz
Memory bus width:    320 bits
WarpSize:            32
L2 cache size:       5120 KB
Total global mem:    10009 MB
ECC enabled:         No
Compute Capability:  8.6
Total SPs:           8704 (68 MPs x 128 SPs/MP)
Compute throughput:  31334.40 GFlops (theoretical single precision FMAs)
Memory bandwidth:    760.08 GB/sec
-----------------------------------------------------------------------
Total GPU memory 10495655936, free 10262609920
Buffer size:          256MB
Trade-off type:       compute with global memory (block strided)
Elements per thread:  8
Thread fusion degree: 4
----------------------------------------------------------------------------- CSV data -----------------------------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Half precision ops,,,,                Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,    0.20,  168.91, 675.63,      0.125,    0.38,   88.12, 704.93,      0.500,    0.19,  346.75, 693.50,     0.250,    0.19,  172.63, 690.53
            1,      0.750,    0.19,  517.39, 689.85,      0.375,    0.38,  262.84, 700.92,      1.500,    0.19, 1040.60, 693.73,     0.750,    0.19,  517.99, 690.65
            2,      1.250,    0.19,  866.88, 693.50,      0.625,    0.45,  373.26, 597.22,      2.500,    0.20, 1716.44, 686.58,     1.250,    0.19,  863.59, 690.88
            3,      1.750,    0.20, 1202.69, 687.25,      0.875,    0.62,  381.66, 436.18,      3.500,    0.20, 2403.02, 686.58,     1.750,    0.19, 1207.24, 689.85
            4,      2.250,    0.19, 1552.17, 689.85,      1.125,    0.79,  383.00, 340.45,      4.500,    0.20, 3088.08, 686.24,     2.250,    0.20, 1544.04, 686.24
            5,      2.750,    0.20, 1887.47, 686.35,      1.375,    0.95,  386.75, 281.27,      5.500,    0.19, 3794.19, 689.85,     2.750,    0.20, 1839.02, 668.73
            6,      3.250,    0.20, 2230.28, 686.24,      1.625,    1.12,  388.24, 238.92,      6.500,    0.20, 4467.88, 687.37,     3.250,    0.20, 2173.39, 668.73
            7,      3.750,    0.20, 2573.40, 686.24,      1.875,    1.29,  389.17, 207.56,      7.500,    0.20, 5117.50, 682.33,     3.750,    0.20, 2497.40, 665.97
            8,      4.250,    0.19, 2929.46, 689.29,      2.125,    1.46,  390.37, 183.70,      8.500,    0.20, 5828.28, 685.68,     4.250,    0.20, 2829.94, 665.87
            9,      4.750,    0.20, 3259.64, 686.24,      2.375,    1.59,  400.90, 168.80,      9.500,    0.20, 6485.33, 682.67,     4.750,    0.20, 3160.37, 665.34
           10,      5.250,    0.20, 3602.76, 686.24,      2.625,    1.76,  401.24, 152.85,     10.500,    0.20, 7057.72, 672.16,     5.250,    0.20, 3494.14, 665.55
           11,      5.750,    0.19, 3966.65, 689.85,      2.875,    1.92,  402.01, 139.83,     11.500,    0.20, 7891.77, 686.24,     5.750,    0.20, 3825.71, 665.34
           12,      6.250,    0.20, 4293.22, 686.92,      3.125,    2.08,  402.75, 128.88,     12.500,    0.20, 8497.37, 679.79,     6.250,    0.20, 4137.37, 661.98
           13,      6.750,    0.20, 4640.48, 687.48,      3.375,    2.25,  402.89, 119.37,     13.500,    0.20, 9168.25, 679.13,     6.750,    0.20, 4468.36, 661.98
           14,      7.250,    0.19, 5008.02, 690.76,      3.625,    2.41,  403.35, 111.27,     14.500,    0.20, 9837.82, 678.47,     7.250,    0.20, 4799.35, 661.98
           15,      7.750,    0.20, 5318.37, 686.24,      3.875,    2.58,  403.58, 104.15,     15.500,    0.20,10479.00, 676.06,     7.750,    0.20, 5130.34, 661.98
           16,      8.250,    0.19, 5692.22, 689.97,      4.125,    2.74,  403.68,  97.86,     16.500,    0.21,10653.64, 645.67,     8.250,    0.21, 5379.82, 652.10
           17,      8.750,    0.20, 6004.61, 686.24,      4.375,    2.91,  403.69,  92.27,     17.500,    0.20,11584.65, 661.98,     8.750,    0.20, 5754.18, 657.62
           18,      9.250,    0.19, 6381.14, 689.85,      4.625,    3.07,  404.03,  87.36,     18.500,    0.20,12308.79, 665.34,     9.250,    0.20, 6092.54, 658.65
           20,     10.250,    0.20, 6999.61, 682.89,      5.125,    3.40,  404.32,  78.89,     20.500,    0.20,13639.47, 665.34,    10.250,    0.20, 6751.20, 658.65
           22,     11.250,    0.20, 7713.90, 685.68,      5.625,    3.73,  404.57,  71.92,     22.500,    0.20,15046.53, 668.73,    11.250,    0.21, 7336.12, 652.10
           24,     12.250,    0.20, 8406.45, 686.24,      6.125,    4.06,  404.86,  66.10,     24.500,    0.21,15588.66, 636.27,    12.250,    0.21, 7909.52, 645.67
           28,     14.250,    0.20, 9728.00, 682.67,      7.125,    4.72,  405.07,  56.85,     28.500,    0.20,18704.06, 656.28,    14.250,    0.21, 9023.07, 633.20
           32,     16.250,    0.20,11050.17, 680.01,      8.125,    5.38,  405.39,  49.89,     32.500,    0.20,21406.23, 658.65,    16.250,    0.21,10204.74, 627.98
           40,     20.250,    0.20,13752.37, 679.13,     10.125,    6.70,  405.66,  40.06,     40.500,    0.22,25278.17, 624.15,    20.250,    0.23,11695.77, 577.57
           48,     24.250,    0.20,16299.98, 672.16,     12.125,    8.02,  405.94,  33.48,     48.500,    0.24,26897.23, 554.58,    24.250,    0.27,12272.19, 506.07
           56,     28.250,    0.20,18513.92, 655.36,     14.125,    9.36,  405.17,  28.68,     56.500,    0.28,26929.34, 476.63,    28.250,    0.31,12425.45, 439.84
           64,     32.250,    0.20,21566.69, 668.73,     16.125,   10.66,  406.19,  25.19,     64.500,    0.32,27096.62, 420.10,    32.250,    0.34,12580.57, 390.10
           80,     40.250,    0.21,25734.87, 639.38,     20.125,   13.29,  406.38,  20.19,     80.500,    0.39,27493.00, 341.53,    40.250,    0.42,12773.97, 317.37
           96,     48.250,    0.24,26572.37, 550.72,     24.125,   15.93,  406.42,  16.85,     96.500,    0.47,27357.24, 283.49,    48.250,    0.50,12906.58, 267.49
          128,     64.250,    0.31,27885.35, 434.01,     32.125,   21.21,  406.50,  12.65,    128.500,    0.61,28122.52, 218.85,    64.250,    0.66,13036.19, 202.90
          192,     96.250,    0.47,27485.14, 285.56,     48.125,   31.76,  406.70,   8.45,    192.500,    0.93,27910.80, 144.99,    96.250,    0.98,13196.32, 137.10
          256,    128.250,    0.61,28157.43, 219.55,     64.125,   42.31,  406.81,   6.34,    256.500,    1.18,29057.88, 113.29,   128.250,    1.30,13257.09, 103.37
--------------------------------------------------------------------------------------------------------------------------------------------------------------------
