mixbench-cpu (v0.04-8-ge51e196)
Use "-h" argument to see available options
Working memory size: 256MB
Total threads: 8
---------------------------------------------------------- CSV data ----------------------------------------------------------
Experiment ID, Single Precision ops,,,,              Double precision ops,,,,              Integer operations,,, 
Compute iters, Flops/byte, ex.time,  GFLOPS, GB/sec, Flops/byte, ex.time,  GFLOPS, GB/sec, Iops/byte, ex.time,   GIOPS, GB/sec
            0,      0.250,   10.01,    6.70,  26.81,      0.125,    8.12,    4.13,  33.06,     0.250,   11.97,    5.61,  22.43
            1,      0.750,    8.50,   23.69,  31.58,      0.375,    8.72,   11.54,  30.78,     0.750,    7.97,   25.27,  33.69
            2,      1.250,    8.57,   39.15,  31.32,      0.625,    8.74,   19.20,  30.72,     1.250,    8.43,   39.78,  31.83
            3,      1.750,    8.46,   55.56,  31.75,      0.875,    8.69,   27.03,  30.89,     1.750,    8.29,   56.65,  32.37
            4,      2.250,    8.64,   69.88,  31.06,      1.125,    8.71,   34.66,  30.81,     2.250,    8.22,   73.45,  32.64
            6,      3.250,    8.86,   98.51,  30.31,      1.625,    9.40,   46.42,  28.57,     3.250,    9.21,   94.75,  29.15
            8,      4.250,    9.62,  118.60,  27.91,      2.125,    9.43,   60.51,  28.48,     4.250,    9.60,  118.81,  27.96
           12,      6.250,    9.83,  170.69,  27.31,      3.125,    9.45,   88.73,  28.39,     6.250,    8.74,  191.87,  30.70
           16,      8.250,    9.25,  239.42,  29.02,      4.125,   11.80,   93.81,  22.74,     8.250,    9.57,  231.39,  28.05
           20,     10.250,   10.33,  266.36,  25.99,      5.125,   12.17,  113.01,  22.05,    10.250,   10.70,  257.19,  25.09
           24,     12.250,   11.76,  279.74,  22.84,      6.125,   13.24,  124.22,  20.28,    12.250,   12.24,  268.68,  21.93
           28,     14.250,   13.59,  281.55,  19.76,      7.125,   14.28,  133.91,  18.79,    14.250,   13.81,  277.07,  19.44
           32,     16.250,   14.94,  291.93,  17.97,      8.125,   14.92,  146.16,  17.99,    16.250,   15.23,  286.41,  17.63
           40,     20.250,   18.17,  299.23,  14.78,     10.125,   18.14,  149.81,  14.80,    20.250,   18.73,  290.28,  14.33
           48,     24.250,   21.42,  303.86,  12.53,     12.125,   21.42,  151.93,  12.53,    24.250,   22.20,  293.21,  12.09
           56,     28.250,   24.77,  306.21,  10.84,     14.125,   24.76,  153.13,  10.84,    28.250,   25.89,  292.90,  10.37
           64,     32.250,   28.09,  308.18,   9.56,     16.125,   28.10,  154.05,   9.55,    32.250,   29.32,  295.22,   9.15
           80,     40.250,   34.77,  310.77,   7.72,     20.125,   34.77,  155.38,   7.72,    40.250,   36.41,  296.74,   7.37
          104,     52.250,   44.78,  313.23,   5.99,     26.125,   44.76,  156.69,   6.00,    52.250,   46.93,  298.87,   5.72
          120,     60.250,   51.52,  313.93,   5.21,     30.125,   51.51,  156.99,   5.21,    60.250,   53.78,  300.75,   4.99
          128,     64.250,   54.91,  314.07,   4.89,     32.125,   54.89,  157.11,   4.89,    64.250,   57.20,  301.51,   4.69
          160,     80.250,   69.76,  308.80,   3.85,     40.125,   69.75,  154.42,   3.85,    80.250,   76.65,  281.04,   3.50
          192,     96.250,   83.18,  310.61,   3.23,     48.125,   83.17,  155.33,   3.23,    96.250,   91.24,  283.17,   2.94
          256,    128.250,  110.03,  312.90,   2.44,     64.125,  110.01,  156.48,   2.44,   128.250,  120.33,  286.11,   2.23
          320,    160.250,  136.90,  314.23,   1.96,     80.125,  136.88,  157.13,   1.96,   160.250,  149.44,  287.86,   1.80
          512,    256.250,  217.49,  316.27,   1.23,    128.125,  217.48,  158.14,   1.23,   256.250,  236.85,  290.42,   1.13
------------------------------------------------------------------------------------------------------------------------------
